,count,mean,std,min,25%,50%,75%,max
Ss30.1,20265.0,2.153659438702512,2.242853156960055,0.0,0.21156254618024525,1.4024495787280558,3.6003142930437737,9.692558611872043
Bc12,20265.0,3.4645509678938033,2.13925872233633,0.0,1.7772779396610456,3.5814403215369426,4.940389047293119,9.654013426780603
Ch40.2,20265.0,3.3972120583152248,2.149787701611773,0.0,1.6380383887866101,3.3858039629240197,4.91590775731751,9.649650378465353
Ch22.2,20265.0,3.7103427180503865,2.103335327069688,0.0,2.120927659101355,3.9097754738138644,5.204498107889362,9.697486816321277
Ch22.1,20265.0,3.6527091159070366,2.1051519108024626,0.0,2.022481808779194,3.8353967080047857,5.151674785978977,9.566676706542093
Ch22,20265.0,3.6513498229484163,2.107928307232836,0.0,2.006460065327836,3.827712450396517,5.155881394872764,9.595090569364839
Ss30.2,20265.0,2.3972776903723703,2.263180205518769,0.0,0.3699815143332229,1.812625116953814,3.9269778239756095,9.64416568769133
Ch22.3,20265.0,3.7127528200491606,2.102863832845268,0.0,2.126383585254,3.9180418088103024,5.203460456278562,9.682600482637866
Bc12.1,20265.0,3.4242437248401596,2.135611044572817,0.0,1.7209475342592409,3.54421849633303,4.897109636531905,9.697196650914137
Bc24.1,20265.0,3.631138350120185,2.024417064017343,0.0,2.0822219651201967,3.7110173914769042,5.0612680785618345,9.565314873587614
Bc18.1,20265.0,3.4055964224126356,2.124664233462391,0.0,1.6561453564660464,3.5361527643346524,4.8940231979787585,9.665417527299827
Ch40.3,20265.0,3.397249818681368,2.1493996309447976,0.0,1.6289687384385172,3.3949783568072465,4.919957939146544,9.670884705203116
Ch40.1,20265.0,3.5330804578532833,2.114495599162423,0.0,1.86442285680836,3.597329787640406,5.02834476453538,9.684518004642884
Bc18,20265.0,3.4271786090718805,2.155238005987506,0.0,1.6263580999414264,3.5741233945554467,4.960491636656526,9.684668475092026
Bc24,20265.0,3.6734852135235347,2.009132441890676,0.0,2.1664813241787213,3.768451409485006,5.087750602372504,9.687168620443648
Ss30,20265.0,2.18376228011647,2.2458363779900425,0.0,0.20888072117190362,1.4637612126534663,3.640168385849817,9.682364769327066
Ch40,20265.0,3.5362926862173314,2.111198940226469,0.0,1.8581856882109211,3.594616399563096,5.030000770001861,9.674012104714464
